community_id,community_name,external_in_normalized,communities_impacted_normalized,pagerank_sum_normalized,betweenness_sum_normalized,baseline_score,baseline_rank,betweenness_weighted_score,betweenness_weighted_rank,absolute_rank_shift,final_influence_score,final_rank
1,Visão computacional e IA central,1.0,1.0,1.0,1.0,1.0,1,1.0,1,0,1.0,1
11,"Visão computacional, IA e sinais",0.9875106928999144,0.9473684210526315,0.9000029353493904,0.7946292305870609,0.9449606831006454,2,0.8848281020952118,2,0,0.9449606831006454,2
5,Inteligência artificial e teoria computacional,0.4155688622754491,0.8947368421052632,0.7359979011701622,0.3232826062046454,0.6821012018502914,3,0.538573763592033,4,1,0.6821012018502914,3
6,"Redes, comunicações e sistemas",0.21548331907613344,0.868421052631579,0.7930713904401758,0.5917269153196045,0.6256585873826294,4,0.6120859185574195,3,1,0.6256585873826294,4
0,"Visão computacional, sinais e mídia",0.14696321642429427,0.9210526315789473,0.4420788836735889,0.3414709468536088,0.5033649105589435,5,0.43860732507680966,5,0,0.5033649105589435,5
8,"IA aplicada, mídia e ambiente",0.29597946963216426,0.8157894736842105,0.3590720836649386,0.14009542926384783,0.4902803423271045,6,0.3502063771018018,7,1,0.4902803423271045,6
9,Visão computacional e computação gráfica,0.24405474764756202,0.868421052631579,0.34433888793018136,0.18935334868465142,0.48560489606977414,7,0.3671042771157251,6,1,0.48560489606977414,7
16,"Redes, IA e engenharia elétrica",0.12668947818648418,0.8421052631578947,0.38655215080616645,0.11783683880401843,0.4517822973835151,8,0.31820411395171644,8,0,0.4517822973835151,8
15,Teoria computacional e análise numérica,0.06295979469632164,0.868421052631579,0.3555826872492457,0.08237104886406524,0.42898784485904873,9,0.29034112646105537,9,0,0.42898784485904873,9
13,"Redes, sistemas e hardware",0.1726261762189906,0.7631578947368421,0.2661799403174597,0.10949257898791881,0.40065467042443076,10,0.28418983384982605,10,0,0.40065467042443076,10
10,"IA, visão computacional e biologia molecular",0.10307955517536356,0.8157894736842105,0.264216921866426,0.11535501802977799,0.39436198357533336,11,0.2827591973571112,11,0,0.39436198357533336,11
17,"Redes, hardware e sinais",0.06612489307100086,0.8157894736842105,0.26951657707842214,0.10023839295663396,0.3838103146112111,12,0.2703815459493803,12,0,0.3838103146112111,12
12,IA e física atômica/molecular,0.011377245508982036,0.631578947368421,0.43736605267517564,0.03716019289427771,0.3601074151841929,13,0.23092852626822685,15,2,0.3601074151841929,13
7,Processamento de sinais e mecânica computacional,0.06646706586826347,0.7894736842105263,0.21212403663569468,0.09404703969754008,0.35602159557149476,14,0.251231773221913,13,1,0.35602159557149476,14
2,Teoria computacional e biologia molecular,0.029255774165953808,0.6578947368421053,0.3604454180373838,0.05257751582557753,0.34919864301514764,15,0.2305501921393196,16,1,0.34919864301514764,15
4,Sistemas de informação e software,0.06005132591958939,0.7368421052631579,0.24680208563504322,0.047626062231052126,0.3478985056059301,16,0.22778952825597892,17,1,0.3478985056059301,16
14,"IA, redes e sistemas de informação",0.12318220701454234,0.7631578947368421,0.13516786454923832,0.0917240869400401,0.3405026554335409,17,0.24099122803614065,14,3,0.3405026554335409,17
19,"Redes, IA e materiais",0.08887938408896492,0.6578947368421053,0.1904763925090196,0.09716812540717171,0.31241683781336327,18,0.22631735285088667,18,0,0.31241683781336327,18
18,"Sinais, visão computacional e sistemas",0.07758768177929855,0.6842105263157895,0.13881189223236104,0.07626163329620926,0.3002033667758163,19,0.21062667338397353,19,0,0.3002033667758163,19
21,"IA, sinais e redes",0.047647562018819506,0.7368421052631579,0.08631553855637605,0.030455613953161792,0.2902684019461178,20,0.18634328674893538,20,0,0.2902684019461178,20
25,Visão computacional e sinais,0.04790419161676647,0.7105263157894737,0.08358357969916862,0.023689022158522765,0.2806713623684696,21,0.17787842628449088,22,1,0.2806713623684696,21
23,"Visão computacional, mídia e biofísica",0.03627031650983747,0.6842105263157895,0.08366246396600881,0.04629658084115822,0.26804776893054527,22,0.17934729369479044,21,1,0.26804776893054527,22
24,"Visão computacional, IA e sinais aplicados",0.040290846877673224,0.6842105263157895,0.05121030421204204,0.03077995792649426,0.2585705591351683,23,0.16745431865169866,23,0,0.2585705591351683,23
27,"Visão computacional, computação gráfica e controle",0.010179640718562874,0.5526315789473685,0.043846202913105106,0.002226511918573742,0.20221914085967885,24,0.12222208928323679,24,0,0.20221914085967885,24
33,Interação humano-computador e aplicações,0.004619332763045338,0.5263157894736842,0.05737325597412468,0.001586955738364307,0.19610279273695141,25,0.11829645793751656,25,0,0.19610279273695141,25
29,"Redes, física não linear e engenharia biomédica",0.006757912745936698,0.5,0.048458726479088846,0.0018068560083593429,0.18507221307500854,26,0.11176607024834885,26,0,0.18507221307500854,26
22,IA e teoria computacional,0.010179640718562874,0.42105263157894735,0.09534076519550931,0.0025438992415296896,0.1755243458310065,27,0.1063321671952158,28,1,0.1755243458310065,27
28,"Teoria computacional, redes e matemática discreta",0.012917023096663816,0.4473684210526316,0.05465294954727305,0.0073032648521627165,0.1716461312321895,28,0.10590898468017879,29,1,0.1716461312321895,28
31,"IA, estatística e sinais",0.03259195893926433,0.4473684210526316,0.030365784022299485,0.006340290329271196,0.17010872133806512,29,0.10460134893454756,30,1,0.17010872133806512,29
39,"Visão computacional, ciências planetárias e geologia",0.00795551753635586,0.47368421052631576,0.027186332425337918,0.0021775232603210137,0.16960868682933652,30,0.10263622140173032,31,1,0.16960868682933652,30
38,"Teoria computacional, análise numérica e geometria",0.003592814371257485,0.47368421052631576,0.022773561627547075,0.01850104098992572,0.16668352884170679,31,0.10741053370099436,27,4,0.16668352884170679,31
37,"IA, engenharia elétrica e redes",0.010949529512403765,0.42105263157894735,0.03945453859796761,0.0036575983240421913,0.1571522332297729,32,0.09575437926748062,32,0,0.1571522332297729,32
34,"Redes, teoria computacional e gestão de sistemas",0.011377245508982036,0.34210526315789475,0.08688343291018356,0.0034325978187042957,0.14678864719235346,33,0.08944622744289378,33,0,0.14678864719235346,33
26,Visão computacional e mídia,0.010436270316509837,0.34210526315789475,0.012161279504146407,0.010666811973497921,0.12156760432618367,34,0.07720728738510937,34,0,0.12156760432618367,34
35,Teoria computacional e análise numérica aplicada,0.0029084687767322497,0.21052631578947367,0.02573763943728855,0.00047890473589990486,0.07972414133449816,35,0.04802604669505886,35,0,0.07972414133449816,35
30,Teoria computacional e mecânica computacional,0.0005132591958939265,0.21052631578947367,0.015549284896391303,0.00016566050398598184,0.0755296199605863,36,0.045384036177946174,36,0,0.0755296199605863,36
36,IA e imagens biomédicas,0.0007698887938408897,0.15789473684210525,0.005463153602419341,0.0006531574635383917,0.05470925974612182,37,0.03308681883308846,37,0,0.05470925974612182,37
32,"IA, geofísica e imagens radiológicas",0.001710863986313088,0.07894736842105263,0.00937487012750661,6.890249402963557e-05,0.030011034178290777,38,0.01803418150458632,38,0,0.030011034178290777,38
40,"IA, sustentabilidade e engenharia elétrica",0.0005132591958939265,0.02631578947368421,0.002807839237579102,4.297919809547815e-06,0.00987896263571908,39,0.005929096749355266,39,0,0.00987896263571908,39
20,Visão computacional e mecânica,8.554319931565441e-05,0.02631578947368421,0.0,2.4163717070171364e-07,0.008800444224333287,40,0.005280363189468254,40,0,0.008800444224333287,40
3,Sistemas de informação e aplicações em saúde,0.0,0.0,0.00047643536474234,0.0,0.00015881178824744667,41,9.528707294846801e-05,41,0,0.00015881178824744667,41
