community_id,rank_by_size,size,internal_edges,outgoing_edges,incoming_edges,density,conductance_out,unicamp_count,unicamp_fraction,mean_year,pagerank_sum,pagerank_mean,external_citations_received,incoming_source_communities,influence_score,representative_openalex_id,representative_title,top_subfields,top_institutions,top_venues,subfield_entropy,institution_entropy,venue_entropy
24,25,488,1847,719,434,0.007771737300972835,0.28020265003897116,24,0.04918032786885246,2006.9959016393443,0.007046147993501502,1.4438827855535866e-05,434,23,-0.29213476977785546,W159719520,"The art of computer systems performance analysis: techniques for experimental design, measurement, simulation, and mode...",Computer Vision and Pattern Recognition (243); Artificial Intelligence (196); Signal Processing (165); Information Systems (131); Computer Networks and Communications (75),Universidade Estadual de Campinas (UNICAMP) (24); Stanford University (12); National University of Singapore (11); Sejong University (10); Universidade Federal de Minas Gerais (9),IEEE Transactions on Circuits and Systems for Video Technology (18); Multimedia Tools and Applications (16); Journal of Visual Communication and Image Representation (12); IEEE Transactions on Multimedia (8); Communications of the ACM (7),3.4713493965683453,8.557230912473399,6.834897112052078
25,26,428,1630,121,129,0.008918995819562696,0.06910336950314107,34,0.0794392523364486,1999.5116822429907,0.006727600416427669,1.5718692561746888e-05,129,21,-0.40473660774956116,W1975433230,A Minimax Theorem for Directed Graphs,Computational Theory and Mathematics (365); Computer Networks and Communications (128); Electrical and Electronic Engineering (93); Discrete Mathematics and Combinatorics (77); Computer Graphics and Computer-Aided Design (55),Universidade Federal do Rio de Janeiro (34); Universidade Estadual de Campinas (UNICAMP) (34); National Taipei University of Business (16); University of Waterloo (16); Centre National de la Recherche Scientifique (14),Discrete Applied Mathematics (50); Discrete Mathematics (38); Journal of Combinatorial Theory Series B (26); Theoretical Computer Science (19); Journal of Graph Theory (15),3.147002240945575,7.794459726808924,5.658402947235936
26,27,376,1070,171,116,0.007588652482269503,0.1377921031426269,20,0.05319148936170213,2010.1702127659576,0.0054362119899354485,1.4458010611530448e-05,116,19,-0.4899639323034515,W2082511574,V-REP: A versatile and scalable robot simulation framework,Computer Vision and Pattern Recognition (255); Computer Graphics and Computer-Aided Design (125); Aerospace Engineering (100); Control and Systems Engineering (75); Artificial Intelligence (54),Universidade Estadual de Campinas (UNICAMP) (20); Institut national de recherche en informatique et en automatique (16); Czech Technical University in Prague (14); Stanford University (12); University of North Carolina at Chapel Hill (10),Journal of Intelligent & Robotic Systems (12); Computer Graphics Forum (11); IEEE Transactions on Robotics (10); Discrete Applied Mathematics (8); IEEE Transactions on Visualization and Computer Graphics (7),4.001119100793905,8.125122192669318,6.681748842000896
27,28,319,2030,33,71,0.020011435105774727,0.015996122152205527,20,0.06269592476489028,2011.788643533123,0.005464954826516395,1.7131519832339798e-05,71,18,-0.5296061269941695,W2112090702,Collective dynamics of ‘small-world’ networks,Computer Networks and Communications (284); Statistical and Nonlinear Physics (119); Biomedical Engineering (62); Cognitive Neuroscience (52); Molecular Biology (32),Universidade Estadual de Campinas (UNICAMP) (20); Cornell University (14); Universidade de São Paulo (13); Universitat Rovira i Virgili (11); Massachusetts Institute of Technology (10),Physical Review E (37); Physical review. E (28); Chaos An Interdisciplinary Journal of Nonlinear Science (28); Physical Review Letters (26); Physica D Nonlinear Phenomena (11),3.6916310136426347,7.810464238021567,5.6207702644772555
28,29,198,962,103,289,0.024662872378608418,0.09671361502347418,11,0.05555555555555555,2008.6649746192893,0.0031765728536085154,1.6043297240447047e-05,289,24,-0.32421005656541985,W2166698530,Statistical Analysis of Finite Mixture Distributions.,Artificial Intelligence (189); Statistics and Probability (127); Signal Processing (26); Computer Vision and Pattern Recognition (13); Molecular Biology (10),National Chung Hsing University (13); Universidade Estadual de Campinas (UNICAMP) (11); The University of Queensland (9); China Medical University (9); University of Connecticut (8),Computational Statistics & Data Analysis (22); Journal of the American Statistical Association (16); Statistics and Computing (16); Advances in Data Analysis and Classification (9); Computational Statistics (7),2.6106157361456015,7.376971447276356,5.508662127975457
29,30,191,728,21,37,0.02006062276109121,0.028037383177570093,21,0.1099476439790576,2001.4188481675392,0.003036448311556712,1.5897635139040378e-05,37,9,-0.8690901467778382,W2000983337,On sufficiency of the Kuhn-Tucker conditions,Computational Theory and Mathematics (180); Numerical Analysis (150); Control and Systems Engineering (49); Geometry and Topology (26); Computational Mechanics (23),Universidade Estadual de Campinas (UNICAMP) (21); La Trobe University (8); Universidad de Sevilla (8); Universidade Estadual Paulista (Unesp) (8); University of Würzburg (7),Journal of Optimization Theory and Applications (26); Journal of Mathematical Analysis and Applications (18); Mathematical Programming (17); Optimization (12); SIAM Journal on Optimization (10),2.9389738999540955,6.904186774761087,4.965282996096512
30,31,174,938,182,89,0.03116072021792572,0.1625,9,0.05172413793103448,2007.6896551724137,0.0034691325100671146,1.9937543161305256e-05,89,15,-0.6531339436682825,W2058389820,"Two-Dimensional, Model-Based, Boundary Matching Using Footprints","Computer Vision and Pattern Recognition (128); Space and Planetary Science (63); Geology (56); Artificial Intelligence (47); Renewable Energy, Sustainability and the Environment (25)",Universidade Estadual de Campinas (UNICAMP) (9); Tel Aviv University (8); New York University (7); Courant Institute of Mathematical Sciences (7); Princeton University (7),Solar Energy (12); IEEE Transactions on Pattern Analysis and Machine Intelligence (10); Pattern Recognition Letters (6); Journal on Computing and Cultural Heritage (6); International Journal of Computer Vision (3),3.549437488202448,7.289433879109137,5.831851222869751
31,32,139,617,19,7,0.032165571890313834,0.029874213836477988,14,0.10071942446043165,2009.3956834532373,0.0018936080199650407,1.3623079280324034e-05,7,4,-1.056693993868029,W2029918260,A Multiscale Finite Element Method for Elliptic Problems in Composite Materials and Porous Media,Computational Theory and Mathematics (131); Computational Mechanics (101); Mechanics of Materials (57); Ocean Engineering (28); Environmental Engineering (15),Universidade Estadual de Campinas (UNICAMP) (14); Stanford University (13); Texas A&M University (12); The University of Texas at Austin (10); California Institute of Technology (8),Journal of Computational Physics (20); Multiscale Modeling and Simulation (12); Transport in Porous Media (7); Computer Methods in Applied Mechanics and Engineering (7); Journal of Petroleum Science and Engineering (7),2.9160833760711524,6.344686245121696,5.112803587992969
32,33,124,876,489,131,0.057435090479937057,0.35824175824175825,6,0.04838709677419355,2014.2983870967741,0.001603703296348923,1.2933091099588088e-05,131,16,-0.6360236313560214,W2131673214,Detecting and reading text in natural scenes,Computer Vision and Pattern Recognition (117); Media Technology (49); Artificial Intelligence (20); Computer Networks and Communications (6); Information Systems (4),Huazhong University of Science and Technology (12); University of Malaya (11); Nanjing University (10); Chinese Academy of Sciences (9); University of Science and Technology of China (6),Pattern Recognition (16); IEEE Transactions on Image Processing (12); Proceedings of the AAAI Conference on Artificial Intelligence (5); International Journal on Document Analysis and Recognition (IJDAR) (4); IEEE Transactions on Intelligent Transportation Systems (4),2.0649599537603867,6.946944129739902,4.584911995943618
33,34,83,271,12,21,0.03981780781663238,0.04240282685512368,7,0.08433734939759036,2006.4939759036145,0.0011725983123499755,1.4127690510240668e-05,21,1,-1.1653971764340525,W2155173483,Perspective. Analytical requirements in international geochemical mapping,Artificial Intelligence (81); Geophysics (41); Geochemistry and Petrology (19); Inorganic Chemistry (15); Radiological and Ultrasound Technology (15),The Open University (9); Universidad Nacional Autónoma de México (8); Universidade Estadual de Campinas (UNICAMP) (7); Kaneka (United States) (6); Max Planck Society (5),Geostandards and Geoanalytical Research (46); Journal of Analytical Atomic Spectrometry (4); Chemical Geology (3); Spectrochimica Acta Part B Atomic Spectroscopy (3); The Analyst (3),3.3688636626513317,6.380160393419749,3.0455392809238764
34,35,53,177,17,10,0.06422351233671988,0.08762886597938144,3,0.05660377358490566,2011.811320754717,0.0007443189549220652,1.4043753866454062e-05,10,4,-1.0701400878503904,W1994419432,Evaluation of whole slide image immunohistochemistry interpretation in challenging prostate needle biopsies,"Artificial Intelligence (51); Biophysics (19); Radiology, Nuclear Medicine and Imaging (18); Oncology (11); Computer Vision and Pattern Recognition (10)",Charité - Universitätsmedizin Berlin (9); University of Freiburg (5); University of Pittsburgh (4); University of Iowa (4); University of Pittsburgh Medical Center (3),Diagnostic Pathology (9); Archives of Pathology & Laboratory Medicine (6); Human Pathology (6); Journal of Pathology Informatics (6); PubMed (4),3.321098342864459,6.757391321442573,4.047568567280905
35,36,39,72,28,14,0.048582995951417005,0.28,6,0.15384615384615385,2011.3333333333333,0.0005055626688858713,1.2963145356047981e-05,14,4,-1.072481293808486,W2139670260,A survey of glove-based input,Human-Computer Interaction (28); Computer Vision and Pattern Recognition (17); Cognitive Neuroscience (15); Biomedical Engineering (10); Control and Systems Engineering (9),Universidade Estadual de Campinas (UNICAMP) (6); Nanyang Technological University (3); University of Victoria (3); University of Aizu (2); Yonsei University (2),Expert Systems with Applications (2); IEEE Sensors Journal (2); IEEE Computer Graphics and Applications (2); The Journal of the Abraham Lincoln Association (2); Zenodo (CERN European Organization for Nuclear Research) (2),2.975528503615012,5.289148671903071,4.513153408920675
36,37,15,23,0,1,0.10952380952380952,0.0,2,0.13333333333333333,2014.8666666666666,0.00017609215443032558,1.1739476962021704e-05,1,1,-1.1800818911737903,W2080997886,"Smart Phones, a Powerful Tool in the Chemistry Classroom",Information Systems (11); General Health Professions (3); Computer Science Applications (3); Developmental and Educational Psychology (3); Computer Vision and Pattern Recognition (3),Universidade Estadual de Campinas (UNICAMP) (2); SUNY Oneonta (1); University of Arizona (1); National Taiwan University of Science and Technology (1); University of Guelph (1),Journal of Chemical Education (8); Journal of Biological Education (2); Biochemistry and Molecular Biology Education (1); ACS Chemical Biology (1); Journal of Computer Assisted Learning (1),3.5588236949893783,4.563856189774725,1.950212064914747
37,38,11,18,1,2,0.16363636363636364,0.05263157894736842,1,0.09090909090909091,1999.909090909091,0.00012180544514219748,1.1073222285654316e-05,2,1,-1.1806020996764357,W2100428676,Electronic speckle photography: analysis of an algorithm giving the displacement with subpixel accuracy,"Computer Vision and Pattern Recognition (11); Computational Mechanics (7); Mechanics of Materials (4); Atomic and Molecular Physics, and Optics (3); Mechanical Engineering (3)",Luleå University of Technology (4); Cranfield University (1); University of Stuttgart (1); École Polytechnique Fédérale de Lausanne (1); University of Münster (1),Applied Optics (4); Optics Communications (3); Optical Engineering (2); Journal of Modern Optics (1); Medical Entomology and Zoology (1),2.7045454143966223,3.2359263506290326,2.1180782093497093
